,size,html_len,number_of_links,number_of_buttons,number_of_inputs,number_of_ul,number_of_ol,number_of_lists,number_of_h1,number_of_h2,total_h1_len,total_h2_len,avg_h1_len,avg_h2_len,number_of_images,number_of_tags,number_of_unique_tags,textdata
58,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
59,384072,63999,149,3,11,2,0,2,1,1,67,8,67.0,8.0,53,633,32,john elway says that it’s time to take the politics out of football comments
60,352788,58785,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,employers can now refuse to pay for birth control thanks to trump comments
61,351894,58636,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,teacher told students they were ‘too darkskinned’ to play lincoln comments
62,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
63,353862,58964,139,3,11,2,0,2,1,1,29,8,29.0,8.0,54,603,30,secrets of the super elements comments
64,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
65,352746,58778,138,3,11,2,0,2,1,1,61,8,61.0,8.0,54,603,30,rich would benefit most from trump tax cut plan policy group comments
66,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
67,360336,60043,144,3,11,2,0,2,1,1,39,8,39.0,8.0,53,610,31,ray says he was praying not protesting comments
68,352182,58684,138,3,11,2,0,2,1,1,68,8,68.0,8.0,54,603,30,kneeling for the national anthem isn’t disrespectful it’s patriotic comments
69,404154,67346,138,3,11,2,0,2,1,1,136,8,136.0,8.0,53,668,32,the ‘sweet season’ in coming up but with good habits and careful monitoring teeth problems can be avoided according to gilroy dentist comments
70,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
71,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
72,352008,58655,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,this high school is threatening to ban players who kneel during anthem comments
73,351630,58592,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,republican wants women to be ‘traditional homemakers and family wives’ comments
74,347304,57871,136,3,11,2,0,2,1,1,39,8,39.0,8.0,53,597,30,helicopter money coming michael pento comments
75,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
76,243942,40644,43,0,5,2,0,2,2,1,81,29,40.5,29.0,14,301,28,video released of elderly german captive beheaded by islamic state post navigation subscribe to our mailing list
77,427716,71273,155,3,11,2,0,2,1,1,36,8,36.0,8.0,61,705,33,the yankees live to see another day comments
78,369126,61508,144,3,11,2,0,2,1,1,50,8,50.0,8.0,53,621,30,‘fixed upper’ stars announce final season – really comments
79,386154,64346,147,3,13,3,0,3,1,1,51,8,51.0,8.0,61,650,32,us to cut embassy staff warn travelers from cuba comments
80,363018,60490,137,3,11,2,0,2,1,1,92,8,92.0,8.0,54,613,30,las vegas bombshell video shows second shooter during vegas massacre the alex jones channel comments
81,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
82,362628,60425,140,3,11,2,0,2,1,1,60,8,60.0,8.0,53,609,30,nfl malcontent marshawn lynch wears antitrump shirt to game comments
83,352392,58719,136,3,11,2,0,2,1,1,13,8,13.0,8.0,53,596,31,blue martinez comments
84,351978,58650,138,3,11,2,0,2,1,1,68,8,68.0,8.0,54,603,30,avid hunter don jr on gun silencers ‘its just a great instrument’ comments
85,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
86,353328,58875,139,3,11,2,0,2,1,1,19,8,19.0,8.0,54,603,30,the castration cure comments
87,364950,60812,137,3,11,2,0,2,1,1,71,8,71.0,8.0,53,621,34,streaming defenses 2016 week 4 which offense do we want to exploit comments
88,351618,58590,138,3,11,2,0,2,1,1,48,8,48.0,8.0,54,603,30,judge awards alleged rapist with parental rights comments
89,312422,62469,152,3,11,2,0,2,1,1,40,8,40.0,8.0,61,696,33,just shut up play some damn baseball comments
90,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
91,358620,59757,138,3,11,2,0,2,1,1,12,8,12.0,8.0,53,607,30,hangover win comments
92,394062,65664,147,3,11,2,0,2,1,1,45,8,45.0,8.0,57,659,32,50 the inspirational journey of aaron judge comments
93,353844,58961,139,3,11,2,0,2,1,1,30,8,30.0,8.0,54,603,30,quantum computer in a nutshell comments
94,371562,61914,150,3,11,3,0,3,1,1,46,8,46.0,8.0,59,658,30,2017 fantasy football kicker rankings – week 5 comments
95,382002,63654,140,3,11,2,0,2,1,1,13,8,13.0,8.0,53,630,31,come together comments
96,394980,65817,152,3,11,2,0,2,1,1,31,8,31.0,8.0,67,649,33,game photos michigan at purdue comments
97,363756,60613,141,3,11,2,0,2,1,1,64,8,64.0,8.0,53,611,30,can boston red sox recover from epic beatdown by houston astros comments
98,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
99,365328,60875,142,3,11,2,0,2,1,1,75,8,75.0,8.0,53,621,32,house republicans answers ‘why does tax reform matter to you’ in new video comments
100,352152,58679,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,a poor chinese intern may have been forced to make your branded laptop comments
101,351996,58653,138,3,11,2,0,2,1,1,68,8,68.0,8.0,54,603,30,trump fans are collecting the personal info of thousands on the left comments
102,363438,60560,140,3,11,2,0,2,1,1,78,8,78.0,8.0,53,609,30,new york shake shack to test out robotic personnel in blow to 15 minimum wage comments
103,366390,61052,144,3,11,3,0,3,1,1,51,8,51.0,8.0,59,651,30,2017 fantasy football quarterback rankings – week 5 comments
104,408648,68095,146,3,11,2,0,2,1,1,45,8,45.0,8.0,59,658,31,for second week in row jets youngsters shine comments
105,347358,57880,136,3,11,2,0,2,1,1,48,8,48.0,8.0,53,597,30,eric trump national anthem should be kept sacred comments
106,347358,57880,136,3,11,2,0,2,1,1,48,8,48.0,8.0,53,597,30,eric trump national anthem should be kept sacred comments
107,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
108,233376,38883,48,0,5,2,0,2,2,1,52,29,26.0,29.0,16,307,29,hand feeding humming birds amazing the woman in these photos mary hartfield from anchorage alaska lives in what she calls a hummingbird fly zone hand feeding humming birds – amazing post navigation subscribe to our mailing list
109,390696,65103,146,3,13,3,0,3,1,2,88,51,88.0,25.5,61,661,35,las vegas bombshell video appears to show muzzleflash from 4th floor not 32nd video emigrate while you still can learn more comments
110,353052,58829,139,3,11,2,0,2,1,1,13,8,13.0,8.0,54,603,30,amazon rising comments
111,433206,72188,160,3,11,2,0,2,1,1,52,8,52.0,8.0,61,672,33,why dont you just hand the indians the trophy joe comments
112,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
113,392538,65410,140,3,11,6,0,6,1,1,108,8,108.0,8.0,56,644,32,103 trspnc park era bucs win a couple lose a couple playoff games roberto pops finales game stories comments
114,351618,58590,138,3,11,2,0,2,1,1,58,8,58.0,8.0,54,603,30,vegas mass shooter was verbally abusive towards girlfriend comments
115,363450,60562,137,3,11,2,0,2,1,1,63,8,63.0,8.0,54,602,30,chicago cubs accomplish rare franchise feat with nl central win comments
116,347472,57899,136,3,11,2,0,2,1,1,55,8,55.0,8.0,53,597,30,president trump says las vegas shooting live updates comments
117,385962,64314,146,3,11,2,0,2,1,1,21,8,21.0,8.0,53,626,30,nowhere to go but up comments
118,388794,64786,139,3,11,5,0,5,1,1,73,8,73.0,8.0,55,630,32,108 hbd tom donie danny catfish spanky hans 2 cannonball coming comments
119,435732,72609,160,3,11,2,0,2,1,1,33,8,33.0,8.0,53,693,33,ravens again abandon running game comments
120,433278,72200,157,3,13,3,0,3,1,1,11,8,11.0,8.0,65,724,34,yankee burn comments
121,233748,38945,44,0,5,2,0,2,2,1,94,29,47.0,29.0,13,301,31,police are looking for these 2 creepy masked figures that appeared in the woods police are urging people on social media to share this photo and video police are looking for these 2 creepy masked figures that appeared in the woods post navigation subscribe to our mailing list
122,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
123,355218,59190,139,3,11,2,0,2,1,1,54,8,54.0,8.0,54,603,30,sold out the underground economy of supreme resellers comments
124,358080,59667,139,3,11,2,0,2,1,1,30,8,30.0,8.0,53,608,30,jacoby jones to retire a raven comments
125,442164,73681,162,3,11,2,0,2,1,1,22,8,22.0,8.0,56,665,33,ravens lay another egg comments
126,264367,52858,144,3,11,2,0,2,1,1,39,8,39.0,8.0,53,610,31,ray says he was praying not protesting comments
127,351342,58544,138,3,11,2,0,2,1,1,61,8,61.0,8.0,54,603,30,trump’s cabinet travels in style at the expense of tax payers comments
128,352368,58715,138,3,11,2,0,2,1,1,59,8,59.0,8.0,54,603,30,after alleged moron remark tillerson strokes trumps ego comments
129,369762,61614,142,3,11,2,0,2,1,1,76,8,76.0,8.0,54,620,30,california clothing store owner’s trump as nazi billboard backfires big time comments
130,403074,67166,139,3,11,2,0,2,1,1,51,8,51.0,8.0,54,611,31,how to make money while playing video games online comments
131,217482,36234,40,0,5,2,0,2,3,1,191,29,63.666666666666664,29.0,13,279,29,mommy signed her up for preschool her ‘rundown’ of the day has the internet in laughter mommy signed her up for preschool her ‘rundown’ of the day has the internet in laughter post navigation subscribe to our mailing list
132,381306,63538,139,3,11,5,0,5,1,1,114,8,114.0,8.0,55,632,32,929 from the 50s forward hbd ken teke takes two alou 2 browns 6inarow cutch walks it off giants finale comments
133,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
134,357396,59553,139,3,11,2,0,2,1,1,28,8,28.0,8.0,53,618,31,ravens raiders – wednesday comments
135,427290,71202,145,3,17,3,0,3,1,1,99,8,99.0,8.0,69,713,35,las vegas massacre thought provoking no conclusive evidence or information about this shooting comments
136,370938,61810,144,3,11,2,0,2,1,1,77,8,77.0,8.0,53,622,30,spacex bfr will go from any city to any other city on earth in under an hour comments
137,363078,60500,144,3,11,2,0,2,1,1,35,8,35.0,8.0,54,616,30,trickle down taxation – af branco comments
138,351828,58625,138,3,11,2,0,2,1,1,59,8,59.0,8.0,54,603,30,trump on gun violence ‘we’re not going to talk about that’ comments
139,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
140,380274,63366,139,3,11,5,0,5,1,1,93,8,93.0,8.0,55,631,32,101 happenings hbd specs jim vance max swipes 51 oconnell deal danny quits more comments
141,371220,61857,144,3,11,2,0,2,1,1,37,8,37.0,8.0,53,621,30,trump to visit puerto rico on tuesday comments
142,351780,58617,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,neonazi dennis mothersbaugh proudly wears ‘god guns trump’ tshirt comments
143,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
144,351798,58620,138,3,11,2,0,2,1,1,62,8,62.0,8.0,54,603,30,un allegedly nixed a report that predicted the rohingya crisis comments
145,374934,62476,140,3,11,2,0,2,1,1,33,8,33.0,8.0,53,617,30,ravens’ problems start at the top comments
146,388746,64778,140,3,11,2,0,2,1,1,65,8,65.0,8.0,54,609,31,lambeau field has become a house of horrors for the chicago bears comments
147,387966,64648,144,3,11,2,0,2,1,1,39,8,39.0,8.0,53,648,31,now a sitcom about an illegal family comments
148,387372,64549,146,3,11,2,0,2,1,1,108,8,108.0,8.0,54,674,38,podcast – hokiesmashasd talkinaccsports talk fbi investigation and acc footballnetwork with anishespn comments
149,505608,84255,161,3,11,2,0,2,1,1,47,8,47.0,8.0,54,1028,33,the durham bulls in 2017 — part 3 — the hitters comments
150,253632,50711,136,3,11,2,0,2,1,1,55,8,55.0,8.0,53,597,30,president trump says las vegas shooting live updates comments
151,359958,59980,142,3,11,2,0,2,1,1,60,8,60.0,8.0,53,615,30,trump tells reporters ‘the flag has to be respected’ video comments
152,387336,64543,146,3,11,2,0,2,1,1,108,8,108.0,8.0,54,674,38,podcast – hokiesmashasd talkinaccsports talk fbi investigation and acc footballnetwork with anishespn comments
153,433872,72299,151,3,11,2,0,2,1,1,31,8,31.0,8.0,53,689,35,london no cup o’ tea for oline comments
154,364764,60781,144,3,11,2,0,2,1,1,56,8,56.0,8.0,56,619,31,playing with heavy heart jets’ ealy dominates on dline comments
155,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
156,348492,58069,136,3,11,2,0,2,1,1,69,8,69.0,8.0,53,599,30,where is the relief money for texas hurricane victims please share comments
157,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
158,372054,61996,145,3,11,3,0,3,1,1,52,8,52.0,8.0,59,668,30,2017 fantasy football running back rankings – week 4 comments
159,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
160,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
161,367056,61163,137,3,11,2,0,2,1,1,48,8,48.0,8.0,54,606,31,how would you feel about this blackhawks lineup comments
162,375312,62539,148,3,11,2,0,2,1,1,77,8,77.0,8.0,57,631,32,ole smoky tennessee moonshine becomes a proud sponsor of the tennessee titans comments
163,366504,61071,141,3,11,3,0,3,1,1,64,8,64.0,8.0,53,624,31,president donald trump’s schedule for friday september 29 2017 comments
164,397308,66205,145,3,11,2,0,2,1,1,31,8,31.0,8.0,57,659,32,fantasy football week 4 advice comments
165,400476,66733,137,3,11,2,0,2,1,1,110,8,110.0,8.0,54,637,32,10 important stories from 092417 box scores devers delivering andersongiolito are regression risks more comments
166,351564,58581,138,3,11,2,0,2,1,1,59,8,59.0,8.0,54,603,30,cam newton laughs at female reporter talking about football comments
167,351054,58496,138,3,11,2,0,2,1,1,45,8,45.0,8.0,54,603,30,active shooter reported near las vegas casino comments
168,351126,58508,138,3,11,2,0,2,1,1,64,8,64.0,8.0,54,603,30,snl pushes for gun control ‘this shouldn’t be a partisan issue’ comments
169,2158,421,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
170,377838,62960,143,3,11,2,0,2,1,1,60,8,60.0,8.0,57,632,31,are the niners ready to turn the corner only time will tell comments
171,366570,61082,141,3,13,3,0,3,1,1,59,8,59.0,8.0,59,629,32,australia successfully reformed gun laws why can’t the us comments
172,357018,59490,139,3,11,2,0,2,1,1,30,8,30.0,8.0,53,616,31,ravens vs steelers – thursday comments
173,356592,59419,140,3,11,2,0,2,1,1,34,8,34.0,8.0,53,609,30,white house press briefing 10517 comments
174,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
175,472578,78750,165,3,11,2,0,2,1,1,54,8,54.0,8.0,66,784,33,if the yanks do these things they can beat the tribe comments
176,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
177,264367,52858,144,3,11,2,0,2,1,1,39,8,39.0,8.0,53,610,31,ray says he was praying not protesting comments
178,403308,67205,143,3,11,3,0,3,1,1,83,8,83.0,8.0,54,684,34,start ‘em or sit ‘em 2017 week 4 dak prescott chris carson ty hilton more comments
179,351846,58628,138,3,11,2,0,2,1,1,69,8,69.0,8.0,54,603,30,in trumps america white families 10 times wealthier than black ones comments
180,350772,58449,138,3,11,2,0,2,1,1,59,8,59.0,8.0,54,603,30,video shows utah cop fatally shooting black man from behind comments
181,350712,58439,138,3,11,2,0,2,1,1,57,8,57.0,8.0,54,603,30,danish minister republishes controversial prophet cartoon comments
182,257412,51467,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,teacher told students they were ‘too darkskinned’ to play lincoln comments
183,362982,60484,140,3,11,2,0,2,1,1,85,8,85.0,8.0,53,609,30,puerto rican police officer san juan mayor not allowing distribution of aid supplies comments
184,357030,59492,139,3,11,2,0,2,1,1,31,8,31.0,8.0,53,616,31,ravens vs steelers – wednesday comments
185,372048,61995,141,3,11,2,0,2,1,1,50,8,50.0,8.0,54,652,33,blue ribbon preseason top 25 includes six from acc comments
186,281142,56213,139,3,11,5,0,5,1,1,68,8,68.0,8.0,55,625,32,103 expo parkforbes field era pirates grays ws win game stories comments
187,397236,66193,150,3,11,2,0,2,1,1,19,8,19.0,8.0,58,673,33,jeet feels the heat comments
188,257272,51439,138,3,11,2,0,2,1,1,69,8,69.0,8.0,54,603,30,in trumps america white families 10 times wealthier than black ones comments
189,257172,51419,138,3,11,2,0,2,1,1,59,8,59.0,8.0,54,603,30,cam newton laughs at female reporter talking about football comments
190,351774,58616,138,3,11,2,0,2,1,1,60,8,60.0,8.0,54,603,30,will security measures change in response to mass shootings comments
191,439632,73259,157,3,11,2,0,2,1,1,57,8,57.0,8.0,71,679,32,passing game film review – good mccown – week 4 jaguars comments
192,371358,61880,144,3,11,2,0,2,1,1,50,8,50.0,8.0,57,664,32,forte leggett out shell doubtful – injury report comments
193,352332,58709,138,3,11,2,0,2,1,1,44,8,44.0,8.0,54,603,30,air force academy head to racists get out comments
194,380610,63422,152,3,11,3,0,3,1,1,38,8,38.0,8.0,59,660,30,2017 fantasy football week 4 sleepers comments
195,356748,59445,141,3,11,2,0,2,1,1,33,8,33.0,8.0,53,610,30,bloody luck – af branco cartoon comments
196,359316,59873,145,3,11,2,0,2,1,1,69,8,69.0,8.0,56,613,30,steelers ring the bell 35 times in huge 269 road win over the ravens comments
197,371844,61961,146,3,11,2,0,2,1,1,50,8,50.0,8.0,54,621,32,around the acc blogosphere for september 21 2017 comments
198,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
199,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
200,360870,60132,137,3,11,3,0,3,1,1,62,8,62.0,8.0,53,618,32,buy ‘em or deny ‘em is chris johnson a worthy fantasy option comments
201,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
202,490170,81682,169,3,11,3,0,3,1,1,48,8,48.0,8.0,57,715,32,the durham bulls in 2017 — part 2 — the pitchers comments
203,351126,58508,138,3,11,2,0,2,1,1,65,8,65.0,8.0,54,603,30,trump is so busy bashing nfl he forgot to hire a science adviser comments
204,371784,61951,144,3,11,2,0,2,1,1,15,8,15.0,8.0,57,626,31,trends to watch comments
205,363054,60496,140,3,11,2,0,2,1,1,82,8,82.0,8.0,53,609,30,scorned alabama crimson tide now on mission to destroy ncaa with extreme prejudice comments
206,286222,57229,146,3,11,2,0,2,1,1,110,8,110.0,8.0,54,674,38,podcast â hokiesmashasd talkinaccsports talk fbi investigation and acc footballnetwork with anishespn comments
207,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
208,382404,63721,139,3,11,5,0,5,1,1,104,8,104.0,8.0,55,631,32,104 trspnc park era reds thump buc 3x in playoffs cole beats cards bucs clich in 15 syd jr axed comments
209,256852,51355,138,3,11,2,0,2,1,1,64,8,64.0,8.0,54,603,30,snl pushes for gun control ‘this shouldn’t be a partisan issue’ comments
210,351864,58631,138,3,11,2,0,2,1,1,69,8,69.0,8.0,54,603,30,trump mocks puerto rico in hispanic heritage speech — it was horrible comments
211,351162,58514,138,3,11,2,0,2,1,1,67,8,67.0,8.0,54,603,30,woman throws drink on lakers fans who took a knee during the anthem comments
212,350532,58409,138,3,11,2,0,2,1,1,63,8,63.0,8.0,54,603,30,on snl alec baldwin’s trump calls san juan mayor “nasty woman” comments
213,352416,58723,138,3,11,2,0,2,1,1,60,8,60.0,8.0,54,603,30,austrias islamophobic burqa ban criminalizes muslim women comments
214,401520,66907,140,3,11,6,0,6,1,1,86,8,86.0,8.0,56,644,32,101 trspnc era wildcard win trs closes freddy takes crown lockes 1st win more comments
215,349044,58161,137,3,11,2,0,2,2,1,106,8,53.0,8.0,53,599,30,10 shocking facts about porn you probably didn’t know 10 shocking facts about porn you probably didn’t know comments
